Plot,Transect,TransectLength,HorizontalDist
P-03,1,30,30
P-03,2,30,30
P-04,1,30,30
P-04,2,30,30
P-05,1,30,30
P-05,2,30,30
P-06,1,30,30
P-06,2,30,30
P-07,1,30,30
P-07,2,30,30
P-08,1,30,30
P-08,2,30,30
P-09,1,30,30
P-09,2,30,30
P-10,1,30,30
P-10,2,30,30
P-11,1,30,30
P-11,2,30,30
P-12,1,30,30
P-12,2,30,30
P-13,1,30,30
P-13,2,30,30
P-14,1,30,30
P-14,2,30,30
P-15,1,30,30
P-15,2,30,30
P-16,1,30,29.96338
P-16,2,30,30
P-17,1,30,30
P-17,2,30,30
P-18,1,30,30
P-18,2,30,30
P-19,1,30,30
P-19,2,30,30
P-20,1,30,30
P-20,2,30,30
P-24,1,30,30
P-24,2,30,30
